Title,Make,Model,Year,Condition,Transmission,Price
Toyota Camry 2007 Gray,Toyota,Camry,2007,Local Used,Automatic,6960937.0
Lexus ES 2014 Black,Lexus,Es,2014,Local Used,Automatic,13500000.0
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,Mercedes-Benz,M Class,2014,Foreign Used,Automatic,17300000.0
Hyundai Santa Fe 2013 Blue,Hyundai,Santa Fe,2013,Local Used,Automatic,10000000.0
Toyota Corolla Sedan Automatic 2003 Black,Toyota,Corolla Sedan,2003,Local Used,Automatic,3800000.0
Peugeot 307 2.0 SW 2007 White,Peugeot,307 2,2007,Local Used,Manual,2800000.0
Toyota Venza 2023 Gray,Toyota,Venza,2023,Foreign Used,Automatic,58500000.0
Toyota Avalon XL 2004 Silver,Toyota,Avalon Xl,2004,Local Used,Automatic,3100000.0
Volvo XC90 2013 White,Volvo,Xc90,2013,Foreign Used,Automatic,8700000.0
Mercedes-Benz C300 2010 Black,Mercedes-Benz,C300,2010,Local Used,Automatic,7500000.0
Hyundai Elantra 2009 Blue,Hyundai,Elantra,2009,Local Used,Automatic,2600000.0
Toyota Camry L 4dr Sedan (2.5L 4cyl 6A) 2013 Red,Toyota,Camry L,2013,Local Used,Automatic,8400000.0
Toyota Land Cruiser 2013 Black,Toyota,Land Cruiser,2013,Local Used,Automatic,48000000.0
Mercedes-Benz CLS 550 2012 White,Mercedes-Benz,Cls 550,2012,Local Used,Automatic,20000000.0
Toyota Solara 2006 Red,Toyota,Solara,2006,Local Used,Automatic,6000000.0
Toyota Corolla 2009 Blue,Toyota,Corolla,2009,Local Used,Automatic,6500000.0
Toyota Sienna CE FWD 2006 Gray,Toyota,Sienna Ce,2006,Local Used,Automatic,6000000.0
Nissan Pathfinder Automatic 2000 Gray,Nissan,Pathfinder Automatic,2000,Local Used,Automatic,3500000.0
Lexus RX 2017 Gray,Lexus,Rx,2017,Foreign Used,Automatic,42000000.0
Hyundai Santa Fe SE Ultimate AWD 2017 Gray,Hyundai,Santa Fe,2017,Foreign Used,Automatic,21000000.0
Mitsubishi Pajero V80 3.8 V6 GLS 2015 Gray,Mitsubishi,Pajero V80,2015,Foreign Used,Automatic,27000000.0
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Silver,Toyota,Camry Le,2013,Foreign Used,Automatic,11500000.0
Honda Pilot 2005 Silver,Honda,Pilot,2005,Local Used,Automatic,3450000.0
Honda Pilot EX-L 4x4 (3.5L 6cyl 5A) 2005 Silver,Honda,Pilot Ex-L,2005,Local Used,Automatic,3450000.0
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2008 Blue,Toyota,Camry Se,2008,Local Used,Automatic,7500000.0
Ford Edge SE 4dr FWD (3.5L 6cyl 6A) 2010 Burgundy,Ford,Edge Se,2010,Local Used,Automatic,5900000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Black,Toyota,Camry Le,2008,Local Used,Automatic,5800000.0
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2017 Gray,Toyota,Camry Le,2017,Foreign Used,Automatic,15500000.0
Mercedes-Benz GLC-Class 2021 White,Mercedes-Benz,Glc-Class,2021,Foreign Used,Automatic,68000000.0
Toyota RAV4 2021 Gray,Toyota,Rav4,2021,Local Used,Automatic,41765625.0
Lexus ES 350 2011 Silver,Lexus,Es 350,2011,Local Used,Automatic,8200000.0
Lexus IS 2013 Silver,Lexus,Is,2013,Foreign Used,Automatic,10850000.0
Honda Accord 2004 Black,Honda,Accord,2004,Local Used,Automatic,1960000.0
Land Rover Range Rover Velar P380 SE R-Dynamic 4x4 2018 Gray,Land,Rover Range,2018,Foreign Used,Automatic,48500000.0
Honda Accord 2011 Gray,Honda,Accord,2011,Local Used,Automatic,7500000.0
Mercedes-Benz C300 2016 White,Mercedes-Benz,C300,2016,Local Used,Automatic,17000000.0
Lexus RX 2006 Gray,Lexus,Rx,2006,Local Used,Automatic,10000000.0
Hyundai Sonata 2014 Silver,Hyundai,Sonata,2014,Foreign Used,Automatic,10500000.0
Mercedes-Benz GLE-Class GLE 400 4MATIC 2017 Silver,Mercedes-Benz,Gle-Class Gle,2017,Foreign Used,Automatic,43000000.0
Lexus IS 2008 Silver,Lexus,Is,2008,Local Used,Automatic,8200000.0
Lexus RX 300 2001 Black,Lexus,Rx 300,2001,Local Used,Automatic,2800000.0
Toyota Corolla LE 4dr Sedan (1.8L 4 cyl 4A) 2009 Gray,Toyota,Corolla Le,2009,Local Used,Automatic,7200000.0
Mercedes-Benz GLA 250 2021 Silver,Mercedes-Benz,Gla 250,2021,Foreign Used,Automatic,48000000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2009 Red,Toyota,Camry Le,2009,Local Used,Automatic,7700000.0
Toyota Corolla 2007 Red,Toyota,Corolla,2007,Local Used,Automatic,5700000.0
Lexus RX 350 AWD 2017 Gold,Lexus,Rx 350,2017,Foreign Used,Automatic,48100000.0
Mini Cooper 2014 Beige,Mini,Cooper,2014,Foreign Used,Automatic,13700000.0
Honda Accord Crosstour 2010 Black,Honda,Accord Crosstour,2010,Local Used,Automatic,7500000.0
Mercedes-Benz E350 2014 Gray,Mercedes-Benz,E350,2014,Foreign Used,Automatic,20500000.0
Hyundai Elantra 2016 Blue,Hyundai,Elantra,2016,Foreign Used,Automatic,15000000.0
Honda Accord 2015 White,Honda,Accord,2015,Foreign Used,Automatic,16500000.0
Toyota RAV4 2006 Blue,Toyota,Rav4,2006,Local Used,Automatic,9000000.0
Pontiac Vibe 2009 Black,Pontiac,Vibe,2009,Local Used,Automatic,8800000.0
Mercedes-Benz E350 2014 White,Mercedes-Benz,E350,2014,Foreign Used,Automatic,23000000.0
Lexus RX 350 2010 Red,Lexus,Rx 350,2010,Foreign Used,Automatic,19500000.0
Mercedes-Benz GLE-Class 2016 White,Mercedes-Benz,Gle-Class,2016,Foreign Used,Automatic,39500000.0
Lexus ES 350 Luxury 2021 Blue,Lexus,Es 350,2021,Foreign Used,Automatic,58000000.0
Hyundai Veracruz 2010 Silver,Hyundai,Veracruz,2010,Foreign Used,Automatic,18500000.0
Lexus RX 350 2008 White,Lexus,Rx 350,2008,Foreign Used,Automatic,15800000.0
Toyota Hilux SR 4x4 2015 White,Toyota,Hilux Sr,2015,Local Used,Automatic,37500000.0
Hyundai Sonata 2015 Orange,Hyundai,Sonata,2015,Foreign Used,Automatic,18500000.0
Land Rover Range Rover HSE 2013 Blue,Land,Rover Range,2013,Foreign Used,Automatic,47000000.0
Mercedes-Benz GLA 250 2015 Brown,Mercedes-Benz,Gla 250,2015,Foreign Used,Automatic,26300000.0
Mercedes-Benz M Class 2014 Black,Mercedes-Benz,M Class,2014,Foreign Used,Automatic,30000000.0
Toyota Hilux SR5+ 4x4 2018 White,Toyota,Hilux Sr5,2018,Foreign Used,Automatic,52000000.0
