title,make,model,year,condition,transmission,price
Toyota Camry 2007 Gray,Toyota,Camry,2007,local used,automatic,"₦ 6,960,937"
Lexus ES 2014 Black,Lexus,ES,2014,local used,automatic,"₦ 13,500,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 17,300,000"
Hyundai Santa Fe 2013 Blue,Hyundai,Santa Fe,2013,local used,automatic,"₦ 10,000,000"
Toyota Corolla Sedan Automatic 2003 Black,Toyota,Corolla Sedan,2003,local used,automatic,"₦ 3,800,000"
Peugeot 307 2.0 SW 2007 White,Peugeot,307 2,2007,local used,manual,"₦ 2,800,000"
Toyota Venza 2023 Gray,Toyota,Venza,2023,foreign used,automatic,"₦ 58,500,000"
Toyota Avalon XL 2004 Silver,Toyota,Avalon XL,2004,local used,automatic,"₦ 3,100,000"
Volvo XC90 2013 White,Volvo,XC90,2013,foreign used,automatic,"₦ 8,700,000"
Mercedes-Benz C300 2010 Black,Mercedes-Benz,C300,2010,local used,automatic,"₦ 7,500,000"
Hyundai Elantra 2009 Blue,Hyundai,Elantra,2009,local used,automatic,"₦ 2,600,000"
Toyota Camry L 4dr Sedan (2.5L 4cyl 6A) 2013 Red,Toyota,Camry L,2013,local used,automatic,"₦ 8,400,000"
Toyota Land Cruiser 2013 Black,Toyota,Land Cruiser,2013,local used,automatic,"₦ 48,000,000"
Mercedes-Benz CLS 550 2012 White,Mercedes-Benz,CLS 550,2012,local used,automatic,"₦ 20,000,000"
Toyota Solara 2006 Red,Toyota,Solara,2006,local used,automatic,"₦ 6,000,000"
Toyota Corolla 2009 Blue,Toyota,Corolla,2009,local used,automatic,"₦ 6,500,000"
Toyota Camry 2025 White,Toyota,Camry,2025,foreign used,,"₦ 111,375,000"
Toyota Sienna CE FWD 2006 Gray,Toyota,Sienna CE,2006,local used,automatic,"₦ 6,000,000"
Nissan Pathfinder Automatic 2000 Gray,Nissan,Pathfinder Automatic,2000,local used,automatic,"₦ 3,500,000"
